"node_name","start_time","end_time","average_memory_usage_percent"
v_techfin_poc_node0002,2025-05-23 12:50:00.000,2025-05-23 12:51:00.000,11.95
v_techfin_poc_node0002,2025-05-23 12:51:00.000,2025-05-23 12:52:00.000,12.37
v_techfin_poc_node0002,2025-05-23 12:52:00.000,2025-05-23 12:53:00.000,11.95
v_techfin_poc_node0002,2025-05-23 12:53:00.000,2025-05-23 12:54:00.000,11.94
v_techfin_poc_node0002,2025-05-23 12:54:00.000,2025-05-23 12:55:00.000,11.98
v_techfin_poc_node0002,2025-05-23 12:55:00.000,2025-05-23 12:56:00.000,11.98
v_techfin_poc_node0002,2025-05-23 12:56:00.000,2025-05-23 12:57:00.000,12.3
v_techfin_poc_node0002,2025-05-23 12:57:00.000,2025-05-23 12:58:00.000,11.17
v_techfin_poc_node0002,2025-05-23 12:58:00.000,2025-05-23 12:59:00.000,11.2
v_techfin_poc_node0002,2025-05-23 12:59:00.000,2025-05-23 13:00:00.000,11.36
v_techfin_poc_node0002,2025-05-23 13:00:00.000,2025-05-23 13:01:00.000,11.4
v_techfin_poc_node0002,2025-05-23 13:01:00.000,2025-05-23 13:02:00.000,11.34
v_techfin_poc_node0002,2025-05-23 13:02:00.000,2025-05-23 13:03:00.000,11.37
v_techfin_poc_node0002,2025-05-23 13:03:00.000,2025-05-23 13:04:00.000,11.23
v_techfin_poc_node0002,2025-05-23 13:04:00.000,2025-05-23 13:05:00.000,11.31
v_techfin_poc_node0002,2025-05-23 13:05:00.000,2025-05-23 13:06:00.000,11.36
v_techfin_poc_node0002,2025-05-23 13:06:00.000,2025-05-23 13:07:00.000,11.4
v_techfin_poc_node0002,2025-05-23 13:07:00.000,2025-05-23 13:08:00.000,11.34
v_techfin_poc_node0002,2025-05-23 13:08:00.000,2025-05-23 13:09:00.000,11.38
v_techfin_poc_node0002,2025-05-23 13:09:00.000,2025-05-23 13:10:00.000,11.08
v_techfin_poc_node0002,2025-05-23 13:10:00.000,2025-05-23 13:11:00.000,11.21
v_techfin_poc_node0003,2025-05-23 12:50:00.000,2025-05-23 12:51:00.000,17.23
v_techfin_poc_node0003,2025-05-23 12:51:00.000,2025-05-23 12:52:00.000,17.64
v_techfin_poc_node0003,2025-05-23 12:52:00.000,2025-05-23 12:53:00.000,17.23
v_techfin_poc_node0003,2025-05-23 12:53:00.000,2025-05-23 12:54:00.000,17.21
v_techfin_poc_node0003,2025-05-23 12:54:00.000,2025-05-23 12:55:00.000,17.25
v_techfin_poc_node0003,2025-05-23 12:55:00.000,2025-05-23 12:56:00.000,17.25
v_techfin_poc_node0003,2025-05-23 12:56:00.000,2025-05-23 12:57:00.000,17.58
v_techfin_poc_node0003,2025-05-23 12:57:00.000,2025-05-23 12:58:00.000,16.47
v_techfin_poc_node0003,2025-05-23 12:58:00.000,2025-05-23 12:59:00.000,16.51
v_techfin_poc_node0003,2025-05-23 12:59:00.000,2025-05-23 13:00:00.000,16.65
v_techfin_poc_node0003,2025-05-23 13:00:00.000,2025-05-23 13:01:00.000,16.7
v_techfin_poc_node0003,2025-05-23 13:01:00.000,2025-05-23 13:02:00.000,16.65
v_techfin_poc_node0003,2025-05-23 13:02:00.000,2025-05-23 13:03:00.000,16.67
v_techfin_poc_node0003,2025-05-23 13:03:00.000,2025-05-23 13:04:00.000,16.53
v_techfin_poc_node0003,2025-05-23 13:04:00.000,2025-05-23 13:05:00.000,16.61
v_techfin_poc_node0003,2025-05-23 13:05:00.000,2025-05-23 13:06:00.000,16.66
v_techfin_poc_node0003,2025-05-23 13:06:00.000,2025-05-23 13:07:00.000,16.69
v_techfin_poc_node0003,2025-05-23 13:07:00.000,2025-05-23 13:08:00.000,16.64
v_techfin_poc_node0003,2025-05-23 13:08:00.000,2025-05-23 13:09:00.000,16.68
v_techfin_poc_node0003,2025-05-23 13:09:00.000,2025-05-23 13:10:00.000,16.38
v_techfin_poc_node0003,2025-05-23 13:10:00.000,2025-05-23 13:11:00.000,16.52
v_techfin_poc_node0001,2025-05-23 12:50:00.000,2025-05-23 12:51:00.000,12.06
v_techfin_poc_node0001,2025-05-23 12:51:00.000,2025-05-23 12:52:00.000,12.47
v_techfin_poc_node0001,2025-05-23 12:52:00.000,2025-05-23 12:53:00.000,12.06
v_techfin_poc_node0001,2025-05-23 12:53:00.000,2025-05-23 12:54:00.000,12.04
v_techfin_poc_node0001,2025-05-23 12:54:00.000,2025-05-23 12:55:00.000,12.09
v_techfin_poc_node0001,2025-05-23 12:55:00.000,2025-05-23 12:56:00.000,12.09
v_techfin_poc_node0001,2025-05-23 12:56:00.000,2025-05-23 12:57:00.000,12.42
v_techfin_poc_node0001,2025-05-23 12:57:00.000,2025-05-23 12:58:00.000,11.28
v_techfin_poc_node0001,2025-05-23 12:58:00.000,2025-05-23 12:59:00.000,11.31
